Sku,Quick Overview,Image
46371,"<ul>
<li>
<b style=""line-height: 1.66667;"">EATON's Bussmann Series 123B20-A2P-KA
      Shortstop Circuit Breaker</b></li>
<li>Category: <a href=""https://www.waytekwire.com/products/1664/Eaton-Short-Stop-Circuit-Breakers/"" target=""_blank"">Eaton Short Stop Circuit Breakers</a><br/></li><li><span style=""line-height: 1.66667;"">Manufacturer: </span><a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_self"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: 12X</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Type: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Type=Short-Stop"" style=""line-height: 1.66667;"" target=""_self"">Shortstop</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Amps=20"" target=""_self"">20A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating: 24V</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Terminals: (2) #10-32 Studs</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Reset Method: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Reset-Method=Type-III---Manual"" target=""_self"">Type III - Manual</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Mounting Style: Right Angle Bracket</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Plastic housing cover</span>
</li>
</ul>",46371.jpg
46270,"<ul>
<li><b>EATON's Bussmann Series AMG-100 High Amp Fuse</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1646/Bolt-Down-Fuses/"" target=""_blank"">Bolt-Down Fuses</a></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_blank"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: AMG</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Style: </span><span style=""line-height: 1.66667;"">Bolt-Down Fuses</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1367/Fuses/&amp;Amps=100"" target=""_self"">100A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating: </span><a href=""//www.waytekwire.com/products/1367/Fuses/&amp;Volts=32"" style=""line-height: 1.66667;"" target=""_self"">32V</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Bolt-down design copper terminals</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Mounting: M8 or 5/16-18 or less studs
      on 2"" centers</span>
</li>
<li>
<span style=""line-height: 1.66667;"">For high current applications</span>
</li>
<li><span style=""line-height: 1.66667;"">Use with <a href=""https://www.waytekwire.com/products?pSearch=LMG"" target=""_blank"">Eaton LMG Fuse Blocks</a> or </span><a href=""//www.waytekwire.com/item/46039/Bussmann-FMG211-Hi-Amp-AMG-Fuse-Holder-with-Cover/"" style=""line-height: 1.66667;"" target=""_self"">Eaton AMG Fuse Holder</a></li>
</ul>",46270.jpg
44511,"<ul><li><b>Littelfuse 08098780 Manual Battery Disconnect Switch</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1408/Battery-Disconnects/"" target=""_blank"">Battery Disconnects</a></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/111/Littelfuse/"" target=""_blank"">Littelfuse</a></li><li>Max Operating Voltage: 24V DC</li><li>Max Continuous Current: 150A</li><li>Operating Temp: -40c to +85c</li><li>Ingress Protection: IP4X</li><li>Contacts: Copper</li><li>Terminals: M10 (zinc-plated steel nuts)</li><li>Switch that features a removable handle with a plastic body</li></ul>",44511.jpg
44075,"<ul>
<li><b>Battery Isolator Switch with Detachable Key 44075</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1408/Battery-Disconnects/"" target=""_blank"">Battery Disconnects</a><br/></li><li>
      Battery isolator switch with detachable key
   </li>
<li>
      Protects operator from accidental actuation when power is shut-down for
      maintenance
   </li>
<li>
      Stop-key single circuit
   </li>
<li>
      Maximum load is 500 amps for 5 seconds at 12 volts DC
   </li>
<li>
      100 amps continuous rating
   </li>
<li>
      Spare key 44077 and splash-proof cover 44078 also available
   </li>
<li>
      -13°F (-25°C) to 185°F (85°C)
   </li>
</ul>",44075.jpg
WG18-8,"<ul>
<li><b>WG18-8-100 Automotive Primary Wire, GPT Standard Wall</b><br/></li><li>Category: <a href=""https://www.waytekwire.com/products/1455/Automotive-Primary-Wire/"" target=""_blank"">Automotive Primary Wire</a></li><li>Automotive primary wire is a general purpose wire for      original
      equipment and replacement automotive applications<br/></li>
<li>
      Smooth jacket surface ideal for pulling through      corrugated loom or conduit
   </li>
<li>
      SAEJ1128-GPT
   </li>
<li>
      Excellent resistance to oil and flame
   </li>
<li>
      Single conductor, stranded, bare copper
   </li>
<li>
      Jacketed polyvinylchloride (PVC)
   </li>
<li>
      Available in drum/barrel quantities at discounted      prices
   </li>
<li>
      Temp rating: -40°F (-40°C)  to  185°F (85°C)
   </li>
<li>
      Larger spool sizes available. See <a href=""//www.waytekwire.com/item/WG18-8/"" target=""_self"">WG18-8</a>
</li>
</ul>",WG18-8.jpg
WL18-8,"<div>
<b>Spool Sizes Available:  500', 1000', 3000'</b><b>, 5</b><b>000'</b></div>",WL18-8.jpg
WL16-8,"<div>
<b>Spool Sizes Available:  500', 1000', 2500'</b><b>, 5</b><b>000'</b></div>",WL16-8.jpg
WL12-4,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 1500', 3000'<font color=""#ff0000"">*</font></b>
</div>",WL12-4.jpg
WL12-1,"<div><b>Spool Sizes Available: 250', 500', 1000', 1500', 3000'<font color=""#ff0000"">*</font></b><b><br/></b></div>",WL12-1.jpg
WL10-9,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 2000'<font color=""#ff0000"">*</font></b>
</div>",WL10-9.jpg
WL10-1,"<div>
<b>Spool Sizes Available: 250', 500', 1000', 2000'<font color=""#ff0000"">*</font></b>
</div>",WL10-1.jpg
75747,"<ul><li><b>Song Chuan ISO 280 Mini Relay with Resistor &amp; Steel Bracket, 898H-1CH-D1SW-R1-U05-12V</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/"" target=""_blank"">Mechanical Relays &amp; Connectors</a><br/></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/150/Song-Chuan/"" target=""_blank"">Song Chuan</a></li><li>Circuitry: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/&amp;Circuitry=SPDT-Circuitry"" target=""_blank"">SPDT</a></li><li>NO Amp: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/&amp;NO-Amp=NO-50A-"" target=""_blank"">50A</a></li><li>NC Amp: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/&amp;NC-Amp=NC-30A"" target=""_blank"">30A</a></li><li>Volt Rating: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/&amp;Nominal-Voltage=12V"" target=""_blank"">12V</a></li><li>Terminals: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/&amp;Terminals-Required=Five-2-8mm-Terminals-Required"" target=""_blank"">Five 2.8mm Terminals</a></li><li>Steel Bracket</li><li>Resistor included</li><li>Space saving relay with high current capacity</li><li>Designed to perform in temperatures as low as -40°F (-40°C) and as high as 275°F (125°C)</li><li>Ideal for use in variety of automotive applications including starter motors, hazard warning lights, ignition and battery disconnect relays</li></ul>",75747.jpg
75772,"<ul><li><b>Song Chuan High Power Skirted Mini Relay 896H-1CH-D1SW-12VDC</b></li><li>Category: <a href=""https://www.waytekwire.com/products/1402/Mechanical-Relays-Connectors/"" target=""_blank"">Mechanical Relays &amp; Connectors</a><br/></li><li>Manufacturer: <a href=""https://www.waytekwire.com/manf/150/Song-Chuan/"" target=""_blank"">Song Chuan</a></li><li>Component Type: Mini Relay</li><li>Circuitry: SPDT</li><li>NO Amp: 50A</li><li>NC Amp: 30A</li><li>Volt Rating: 12V</li><li>Terminals: Five 1/4"" terminals</li><li>Skirted Mini Relay</li><li>Space saving relay with high current capacity<br/></li><li>Designed to perform in temperatures as low as -40°F (-40°C) and as high as 275°F (125°C)</li><li>Ideal for use in a variety of automotive applications including starter motors, hazard-warning lights, ignition and battery-disconnect relays, etc.</li></ul>",75772.jpg
WZ00-2,"<div>
<b>Spool Sizes Available: </b><b style=""line-height:
   1.6666666666666667;"">100', 250'</b><b style=""line-height:
   1.6666666666666667;""><font color=""#ff0000"">*</font></b><b style=""line-height:
   1.6666666666666667;"">, 500'<font color=""#ff0000"">*</font></b>
</div>",WZ00-2.jpg
46410,"<ul>
<li>
<b style=""line-height: 1.66667;"">EATON's Bussmann Series 121B10-00M-KA
      Shortstop Circuit Breaker</b></li>
<li>Category: <a href=""https://www.waytekwire.com/products/1664/Eaton-Short-Stop-Circuit-Breakers/"" target=""_blank"">Eaton Short Stop Circuit Breakers</a><br/></li><li><span style=""line-height: 1.66667;"">Manufacturer: </span><a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_self"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: 12X</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Type: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Type=Short-Stop"" style=""line-height: 1.66667;"" target=""_self"">Shortstop</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Amps=10"" style=""line-height: 1.66667;"" target=""_self"">10A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating: 12V</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Terminals: (2) #10-32 Studs</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Reset Method: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Reset-Method=Type-I---Automatic"" style=""line-height: 1.66667;"" target=""_self"">Type I - Automatic</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Metal housing cover</span>
</li>
<li>
<span style=""line-height: 1.66667;"">No bracket included</span>
</li>
</ul>",46410.jpg
46415,"<ul>
<li>
<b style=""line-height: 1.66667;"">EATON's Bussmann Series 121B15-00M-KA Shortstop Circuit Breaker</b></li>
<li>Category: <a href=""https://www.waytekwire.com/products/1664/Eaton-Short-Stop-Circuit-Breakers/"" target=""_blank"">Eaton Short Stop Circuit Breakers</a><br/></li><li><span style=""line-height: 1.66667;"">Manufacturer: </span><a href=""https://www.waytekwire.com/manf/15/EATON"" target=""_blank"">EATON</a><br/></li>
<li>
<span style=""line-height: 1.66667;"">Series: 12X</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Type: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Type=Short-Stop"" style=""line-height: 1.66667;"" target=""_self"">Shortstop</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Current Rating: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Amps=15"" target=""_self"">15A</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Voltage Rating: 12V</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Terminals: (2) #10-32 Studs</span>
</li>
<li>
<span style=""line-height: 1.66667;"">Reset Method: </span><a href=""//www.waytekwire.com/products/1366/Circuit-Breakers/&amp;Reset-Method=Type-I---Automatic"" style=""line-height: 1.66667;"" target=""_self"">Type I - Automatic</a>
</li>
<li>
<span style=""line-height: 1.66667;"">Heavy-duty metal housing cover</span>
</li>
<li>
<span style=""line-height: 1.66667;"">No bracket included</span>
</li>
<li>
      Plastic housing also available (<a href=""//www.waytekwire.com/item/46416/Cooper-Bussmann-121B15-00P-KA-Type-1/"" style=""line-height: 1.66667;"" target=""_self"">Cooper Bussmann
      121B15-00P-KA</a><span style=""line-height: 1.66667;"">)</span>
</li>
</ul>",46415.jpg
